idx,agent,size,slots,lp_norm,cost,reward,prestige,score
64,EDU,M,s_328,0.814944567847085,1.1111733925666007,0.2033520177699802,0.4514944567847085,0.4158140509871582
69,EDU,M,s_23,0.814944567847085,1.1111733925666007,0.2033520177699802,0.4514944567847085,0.4158140509871582
83,EDU,M,s_3,0.814944567847085,1.1111733925666007,0.2033520177699802,0.4514944567847085,0.4158140509871582
111,EDU,M,s_330,0.814944567847085,1.1111733925666007,0.2033520177699802,0.4514944567847085,0.4158140509871582
91,EDU,M,s_76,0.8144351746860075,1.1109288838492837,0.20327866515478504,0.45144351746860073,0.4157620079732573
60,EDU,M,s_40,0.8139653935606568,1.1107033889091154,0.20321101667273456,0.45139653935606566,0.41571401198998725
114,EDU,M,s_178,0.8139653935606568,1.1107033889091154,0.20321101667273456,0.45139653935606566,0.41571401198998725
88,EDU,M,s_287,0.8110349273924938,1.109296765148397,0.2027890295445191,0.4511034927392494,0.4154146159572587
108,EDU,M,s_124,0.8109909576682367,1.1092756596807536,0.2027826979042261,0.45109909576682367,0.4154101237160086
74,EDU,M,s_123,0.8099431867385849,1.1087727296345207,0.2026318188903562,0.4509943186738585,0.4153030764267568
67,EDU,M,s_66,0.8095765594547679,1.1085967485382886,0.20257902456148652,0.45095765594547677,0.41526561933018374
95,EDU,M,s_50,0.8090871497211556,1.1083618318661548,0.20250854955984637,0.45090871497211554,0.4152156179569503
84,EDU,M,s_234,0.8066364796822134,1.1071855102474624,0.20215565307423872,0.45066364796822134,0.41496524110730193
99,EDU,M,s_53,0.8066364796822134,1.1071855102474624,0.20215565307423872,0.45066364796822134,0.41496524110730193
86,EDU,M,s_63,0.8061742546814475,1.1069636422470948,0.2020890926741284,0.45061742546814476,0.41491801710828063
105,EDU,M,s_311,0.799418236634621,1.103720753584618,0.20111622607538537,0.4499418236634621,0.4142277770972416
116,EDU,M,s_344,0.799418236634621,1.103720753584618,0.20111622607538537,0.4499418236634621,0.4142277770972416
92,EDU,M,s_121,0.7979436758104282,1.1030129643890054,0.2009038893167016,0.44979436758104285,0.41407712609653186
85,EDU,M,s_288,0.794627217498496,1.1014210643992781,0.20042631931978339,0.4494627217498496,0.41373829452355904
76,EDU,M,s_89,0.7941147077674405,1.1011750597283714,0.20035251791851139,0.44941147077674404,0.413685933100015
61,EDU,M,s_233,0.7936724664121173,1.1009627838778162,0.20028883516334484,0.44936724664121175,0.41364075076393114
118,EDU,M,s_27,0.7936724664121173,1.1009627838778162,0.20028883516334484,0.44936724664121175,0.41364075076393114
81,EDU,M,s_299,0.790815093744353,1.0995912449972893,0.19987737349918677,0.4490815093744353,0.41334882245230287
80,EDU,M,s_120,0.7890100853402248,1.098724840963308,0.19961745228899236,0.4489010085340225,0.41316441071566223
115,EDU,M,s_126,0.7885350616785306,1.0984968296056945,0.19954904888170838,0.4488535061678531,0.4131158791197993
71,EDU,M,s_92,0.7884802814662333,1.098470535103792,0.19954116053113752,0.44884802814662333,0.41311028240675335
100,EDU,M,s_24,0.7879680130296525,1.098224646254233,0.19946739387626994,0.44879680130296523,0.4130579456354675
90,EDU,M,s_125,0.7870319863103895,1.097775353428987,0.19933260602869607,0.44870319863103897,0.4129623148824768
63,EDU,M,s_79,0.7865576302015949,1.0975476624967655,0.19926429874902962,0.44865576302015947,0.41291385148828486
72,EDU,M,s_102,0.7865255341749182,1.0975322564039607,0.19925967692118818,0.44865255341749183,0.41291057234343154
65,EDU,M,s_14,0.7860756586504609,1.0973163161522212,0.19919489484566633,0.4486075658650461,0.41286461004954544
66,EDU,M,s_271,0.7860756586504609,1.0973163161522212,0.19919489484566633,0.4486075658650461,0.41286461004954544
104,EDU,M,s_37,0.7860756586504609,1.0973163161522212,0.19919489484566633,0.4486075658650461,0.41286461004954544
89,EDU,M,s_106,0.781014439263438,1.0948869308464502,0.19846607925393506,0.4481014439263438,0.41234752201020697
77,EDU,M,s_114,0.7809217050969368,1.0948424184465297,0.19845272553395887,0.4480921705096937,0.41233804766723364
73,EDU,M,s_327,0.7804258323689703,1.0946043995371058,0.19838131986113167,0.44804258323689705,0.41228738599125037
106,EDU,M,s_2,0.7804258323689703,1.0946043995371058,0.19838131986113167,0.44804258323689705,0.41228738599125037
107,EDU,M,s_10,0.7804258323689703,1.0946043995371058,0.19838131986113167,0.44804258323689705,0.41228738599125037
109,EDU,M,s_337,0.7794881523815038,1.0941543131431217,0.19824629394293652,0.4479488152381504,0.4121915863293173
238,IND,M,"s_234,s_235",0.8159673167946481,2.088362414313845,1.1116643120614311,0.02736130732821408,0.39999999999999997
237,IND,M,"s_271,s_337",0.7827819055159824,2.0501991913433795,1.0957353146476716,0.028688723779360707,0.39682920602240646
38,EDU,S,s_232,0.8332767194368945,0.7466485502198063,0.07799592379945638,0.3033276719436895,0.26437189683723933
53,EDU,S,s_108,0.8315889032043593,0.7461084490253951,0.07787440103071386,0.30315889032043597,0.26421472360484927
34,EDU,S,s_112,0.8304812526202129,0.7457540008384682,0.0777946501886553,0.3030481252620213,0.2641115766986203
