slot_id,x,y,angle_deg
s_570,98.117337,129.814249,11.47
s_571,104.780713,130.593894,22.60
s_572,88.299333,125.197657,183.93
s_573,118.294626,136.586442,24.71
s_574,96.383958,125.154174,204.53
s_575,89.174090,122.066387,179.27
s_576,81.093338,124.941579,180.54
s_577,93.425027,122.312496,188.45
s_578,103.517078,131.527382,18.77
s_579,111.226667,135.431910,21.23
s_580,86.897158,122.015475,188.78
s_581,112.785735,137.803675,14.67
s_582,90.306587,125.328019,191.95
s_583,110.937173,136.989328,29.63
s_584,94.442323,125.263024,198.11
s_585,84.155899,124.990975,181.81
s_586,103.669608,134.113243,29.68
s_587,117.362625,139.148794,16.23
s_588,102.723709,129.885165,20.71
s_589,87.985959,130.308756,2.08
s_590,97.981661,125.876370,218.19
s_591,99.923637,130.268451,16.50
s_592,99.288124,132.543567,23.33
s_593,99.708547,126.631305,209.45
s_594,76.285802,106.771445,148.97
s_595,84.964704,110.348489,183.37
s_596,81.656534,104.570250,175.79
s_597,82.629763,105.688718,181.41
s_598,79.696764,111.026189,167.93
s_599,75.914112,108.547889,151.23
s_600,83.513514,108.739742,180.09
s_601,75.969258,111.528185,157.91
s_602,82.754494,103.993290,184.06
s_603,81.495029,109.894851,175.01
s_604,78.727242,110.102084,164.46
s_605,80.644701,102.387657,180.01
s_606,85.009604,108.666775,183.07
s_607,81.600535,106.370880,178.58
s_608,75.464935,110.004750,154.47
s_609,80.572768,106.754724,168.07
s_610,79.369424,107.849295,167.36
s_611,74.412590,110.945164,157.31
s_612,84.932720,102.055734,185.97
s_613,79.127578,103.718829,129.37
s_614,76.995430,106.980313,141.21
s_615,80.929403,110.775098,173.67
s_616,83.181890,110.549750,174.02
s_617,77.402338,111.501477,144.28
s_618,81.749628,107.546180,179.39
s_619,78.006797,110.649519,159.63
s_620,78.122106,109.064320,163.16
s_621,78.761092,108.382221,158.78
s_622,72.925051,112.133473,151.09
s_623,86.520506,108.797881,178.82
s_624,80.083872,109.027536,175.22
s_625,76.974202,108.116728,141.21
